maxRandom,totalNumbers,SequentialTime,ParallelTime
20851000,20851000,63.86365512,33.46269166
21001000,21001000,65.67052698,41.82350747
21151000,21151000,70.30793187,39.54328331
21301000,21301000,62.21737937,37.0335223
21451000,21451000,61.47743714,40.64399918
21601000,21601000,66.21539093,42.02886537
21751000,21751000,69.80133688,39.91999813
21901000,21901000,65.52352185,47.43668459
22051000,22051000,86.46097905,40.65582777
22201000,22201000,69.12759704,42.93283714
22351000,22351000,75.88126388,46.96318382
22501000,22501000,86.41499892,45.72770991
22651000,22651000,76.36067378,50.24024684
22801000,22801000,72.4666868,43.14543125
22951000,22951000,71.5887023,41.68613183
23101000,23101000,73.85972934,48.42401329
23251000,23251000,83.22778437,50.31099579
23401000,23401000,70.59219502,50.56760043
23551000,23551000,81.29825097,48.05676915
23701000,23701000,75.74369066,44.98436087
23851000,23851000,82.85510376,52.51024285
24001000,24001000,93.61742792,48.17135754
24151000,24151000,79.12748526,45.38177261
24301000,24301000,75.02103863,58.00358425
24451000,24451000,82.47172754,53.53085901
24601000,24601000,87.77236127,50.49076465
24751000,24751000,82.98794269,49.88361548
24901000,24901000,86.63182571,58.23026832
25051000,25051000,82.12184695,59.11864206
25201000,25201000,85.95161826,55.80087241
25351000,25351000,104.9210281,63.81078692
25501000,25501000,96.62711846,61.63500333
25651000,25651000,81.46737043,61.75198868
25801000,25801000,91.54831285,59.39561372
25951000,25951000,83.8738074,56.77918806
26101000,26101000,95.64630364,53.96143946
26251000,26251000,99.22052009,67.39223241
26401000,26401000,96.13741181,64.10099935
26551000,26551000,91.29044685,53.9982118
26701000,26701000,92.19519483,77.13619238
26851000,26851000,96.19874441,67.81097849
27001000,27001000,111.3559274,72.19418339
27151000,27151000,99.0360433,67.54529521
27301000,27301000,96.18616707,57.97163567
27451000,27451000,105.3019979,67.77540501
27601000,27601000,97.43140793,64.03967541
27751000,27751000,96.8821606,55.24288903
27901000,27901000,101.984839,71.97216152
28051000,28051000,116.2054121,111.3012513
28201000,28201000,102.434283,121.0816429
28351000,28351000,143.7544217,104.7312698
28501000,28501000,108.0986685,84.5165551
28651000,28651000,134.0240198,87.82202714
28801000,28801000,107.1691091,81.30414505
28951000,28951000,114.4512879,104.8937616
29101000,29101000,126.345428,79.11826823
29251000,29251000,143.9976069,84.75671245
29401000,29401000,145.6901689,113.062125
29551000,29551000,150.3979453,122.0205745
29701000,29701000,160.9845898,81.60352512
29851000,29851000,166.0208907,95.58078759
30001000,30001000,142.8786669,90.02659526
